,id,name,year,publisher,weight,numweights,rules
2,68448,7 WONDERS,2010,ASMODEE,2.3214,5028,"setup depending on the number of players, return to the box all cards not used (see the bottom center of each card). in the age iii deck, remove the 10 guilds (purple cards), randomly and secretly keep only the number of players +2 cards, then shuffle them back into the deck. shuffle the age decks. each deck will have cards equal to 7 x the number of players. shuffle the 7 wonder cards facedown, and deal one to each player. the card and its facing determines the wonders board, and its side, used by each player. alternatively, boards can be chosen if all players agree. each board represents the wonder the player can build and, in the upper left, the resource it produces from the start of the game. each wonder has several stages, each of which has a construction cost and gives a bonus when finished. each player starts with 3 value ‘1’ coins on their board. remaining coins form the bank (make change as required). game overview a game starts with age i, continues with age ii, and ends with age iii. at the beginning of each age, each player is randomly dealt a hand of 7 cards from the appropriate age deck. each age has 6 game turns. during each turn the players simultaneously put into play one card. structures raw materials (brown) produce resources. manufactured goods (gray) produce resources. civilian structures (blue) score victory points.scientific structures (green) score victory points depending on your progress in the 3 scientific fields. commercial structures (yellow) earn coins, produce resource, change commerce rules and may earn victory points. military structures (red) increase your militay might. guilds (purple) score points according to specific criteria. construction the upper left of a card shows its construction cost (if the area is empty the structure is free). if a card has a cost in resources, you must produce the corresponding resources and/or buy them from one of your 2 neighboring cities. starting in age ii, some structures may be built either by paying resources as normal, or for free if the player has built the structure indicated in a previous age. the lower right of a card may show which structures may be built for free in the following age due to this card. production the resources of a city are produced by its wonder board, its brown cards, its gray cards, and some yellow cards. to build a structure, your city must produce the resources indicated on its card. the resources are not spent during construction; they can be used each turn, for the entire game. cards played are never discarded. commerce you may want to build a structure requiring resources you do not produce. if these resources are produced by a neighboring city—players sitting directly to your left or right—you will be able to purchase the missing resource(s). resources you can buy from neighboring cities are : – the resources initially produced by the city (the upper left of the player’s wonder board). – the resources from its brown cards and gray cards. resources produced by some commercial structures (yellow cards) or some wonders are reserved to their owner. for each resource bought, you must give 2 coins to the owner of the resource. selling a resource to a neighboring city does not prevent you from using it, during the same turn, for your own purposes. it is possible, during the same turn, to buy one or more resources from both neighboring cities. the resources bought can only be used on the turn in which they are bought. players can never refuse to sell resources. if both cities neighboring you produce a coveted resource, you are free to purchase from either player. to buy resources, you must have the coins at the beginning of the turn. the coins earned through commerce during a turn cannot be used on that turn, only during the next. free construction (chains) some structures in age ii and age iii have, to the right of their resource cost, the name of a structure of a previous age. if you have built that structure during a previous age, you can build the structure for free (without having to pay the resource cost).1. choose a card each player selects a card from their hand and places it facedown in front of them. a player’s remaining cards are placed facedown between him and the next player. the direction the cards are passed depends on the age :during age i, cards are passed to the left (clockwise). during age ii, cards are passed to the right.during age iii, cards are passed to the left. 2. ac tion all players perform one of the 3 possible actions simultanously with their chosen card. a. build a structure build the structure represented by the card. you may never build 2 identical structures. brown and gray cards are placed beneath one another starting from the upper left corner of the wonders board. other cards are placed faceup in the area in front of your wonder board, to form your city. stack your cards by color, leaving the name of each structure visible. b. build a stage of your wonder to build each stage of your wonder, use a card of your choice as a construction marker (pay the price shown on the wonder board and not the one shown on the structure’s card). then play the card, facedown, half hidden under the wonder board to show that this stage of your wonder is now built. the card then has no other effect, remains hidden, and is not considered a structure. the stages of a wonder must be built in order, from left to right. construction of the wonder is optional. the 3 stages of a wonder are not associated with ages, so multiple wonder stages may be built in a single age, and in any age. each stage can only built once per game. c. discard to gain 3 coins discard the card and take 3 coins from the bank. discarded cards remain facedown and form a discard pile in the center of the table. if a player cannot build the structure or the wonder stage, he must discard the card and take 3 coins.3. mo ve on t o the next hand each player takes the hand of cards passed to him from his neighbor. end of an a ge at the beginning of the sixth and final turn of each age, players receive a 2 card hand from their neighbour. each player then chooses one (as in previous turns) and the second is then discarded, facedown (without getting 3 coins for it). the selected card is played normally, and then the age ends. military conflicts the players then proceed to the resolution of military conflicts. each player compares the total number of shields on their military structures (red cards) with the total of each of the 2 neighboring cities. if a player has a higher total than a neighboring city, that player takes a victory token corresponding to the age just played (age i : +1, age ii : +3, or age iii : +5) if a player has a lower total than that of a neighboring city, that player takes a defeat token (-1 victory point) if a player has an equal total to that of a neighboring city, no token is taken. each player therefore gets 0, 1 or 2 tokens, which are placed on his wonder board. end of the game the game ends at the end of the age iii, after military conflict tokens have been handed out. each player totals their victory points and the player with the highest total is the winner. if there is a tie, the player with the most coins in his treasury is the winner. a tie on coins is not broken further. count victory points in order: 1. military conflicts each player adds their victory and defeat tokens (the total can be negative). 2. treasury contents for every 3 coins in their possession at the end of the game, players score 1 victory point. leftover coins score no points. 3. wonders each player adds the victory points from their wonder. 4. civilian structures each player adds the victory points of their civilian structures (as indicated on each civilian structure). 5. scientific structures the scientific cards earn victory points from sets of identical symbols and from sets of 3 different symbols. the victory points earned by both methods are cumulative.sets of identical symbols: for each of the 3 existing scientific symbols, the player wins a number of points equal to the number of identical symbols squared. there are 4 green cards for each symbol, for a maximum of 16 victory points per family of symbols (this maximum can be increased with the scientific guild and the wonder of babylon). sets of 3 different symbols: for each group of 3 different symbols, each player scores 7 victory points. 6. commercial structures some commercial structures from age iii grant victory points. 7. guilds each guild is worth a number of victory points depending on the configuration of the player’s city and/ or that of the 2 neighboring cities. 2 player expert v ariant setup use the same cards as for 3 players. each player is given a board, and then a third free city board is placed beside them. place the border card between the players. each player is dealt a 7 card hand and the remaining 7 cards make a facedown draw pile to the right of the border card. the player to the left of the free city adds the free city card to his hand. the players and the free city each get 3 coins from the bank. game overview the game proceeds the same way as it would with 3 to 7 players, however players must play, in addition to their own card, a card for the free city. 1. choose a card the player who holds the free city card in his hand takes the first card of the draw pile and adds it to his hand. he then picks 2 cards from his hand, first one for his own city and then one for the free city, while his opponent picks a card for themselves. each player then places their remaining cards on their own side of the border card. the free city cannot discard a card to get 3 coins unless it cannot play a card. the player must then choose, when possible, a card which can be played by the free city (structure construction or wonder building stage). the choice of this card is made after choosing the card to be played for his own city. 2. action the player holding the free city card plays the free city’s card followed by his own while his opponent performs his own action. the free city can buy resources from its 2 neighboring cities according to the normal commerce rules. when a resource is available in both neighboring cities, the player controlling the free city gets to pick which city to buy the resource from (no matter what its cost may be).if the card chosen for the free city can benefit from a free construction (chain), this free construction must be performed. during the sixth turn of the age, there is only one card left in the free city’s draw pile. this last card is discarded at the same time as the seventh and last card of the players. 3. move on to the next hand once all 3 cards are played, the players take the stack of cards on the other side of the border. during the next turn, the other player will play for the free city, and so on until the end of the game. end of an age the player who begins with the free city card changes each age: age i: the card is held by the player to the left of the free city. age ii: the card is held by the player to the right of the free city. age iii: the card is held by the player to the left of the free city. the rules for conflict resolution remain unchanged. end of the game the player who has the most victory points wins the game. in case of a tie, the player with the most coins wins the game."
3,141517,A STUDY IN EMERALD,2013,TREEFROG GAMES,3.4538,238,"setup shuffle the secret identity cards and deal one facedown to each player. this determines whether you are on the side of the loyalists or the restorationists. look at your card but keep it secret from the other players. return the remaining cards to the box without looking at them. place the agent counters faceup by the board. each player chooses a colour and takes the matching main agent counter, deck of 10 initial cards, 6 influence cubes, and 15 control discs. all the remaining influence cubes are placed in a pool near the board. note the one use assassination initial card is discarded after use and functions as a hired assassins card. shuffle the game cards. with 4 or 5 players, place 4 cards facedown in each game box on the board. with 2 or 3 players place 3 cards in each box. return the remaining cards to the box without looking at them. turn the top card in each stack faceup. if an agent is revealed place the corresponding agent counter on the card. place the deck of city cards faceup in the city card box. shuffle the permanent effect cards and place them facedown beside the board. draw the top 2 cards and place them faceup on display. shuffle the double-agent counters facedown. each player draws a number of counters (you may look at yours but keep them secret from the other players): 4-5 players 2 counters each 3 players 3 counters each 2 players 4 counters each place 1 track marker on the 0 space of the war track and the other on the 0 space of the revolution track. each player places one of their control discs on the 0 space of the victory point (vp) track. shuffle the sanity counters and place them facedown near the board. shuffle your initial cards to form your draw deck facedown in front of you, then draw 5 cards to form your starting hand. randomly determine a first player. in player order, players place their main agent counter, human side up, in a city box on the board (more than one may be in the same city).scoring victory points while your identity remains a secret there are only some vps which are recorded immediately. your actual points score is only calculated when your identity is revealed. therefore, the position of your disc on the victory point track is not necessarily an accurate indicator of your total. while your identity is a secret you score vps for the cities you control, the royal ‘persons’ you have assassinated and/or hidden, and for taking the necronomicon card. when your identity is revealed you adjust your vps to give a more accurate total. restorationists and loyalists both score vps for: each controlled city: score vps shown in the city box. necronomicon: score 3 vps. restorationists score vps for: each royal ‘person’ they’ve assassinated: score the vps shown in the royal ‘person’ box. revolution track: score vps shown on the highest vp earning space reached by the marker. controlled agent counters: some agents are worth vps as indicated on the agent counter. you do not score these points if the agent in question is a vampire. the black hand: if you have this card, score an extra 2 vps for every royal ‘person’ you have assassinated. loyalists score vps for: each royal ‘person’ they’ve hidden: score the vps shown in the royal ‘person’ box. war track: score vps shown on the highest vp earning space reached by the marker. vampires: if you have the vampire card score 1 vp per vampire agent, including your main agent, that you control on the board. zombies: if you have the zombie card and all 8 zombie pieces are in play then you score 8 vps. yog-sothoth: if you have this card score 2 vps for each agent you have sacrificed to this god. a loyalist player scores when the game ends for: each restorationist agent they’ve assassinated: score 1 vp for each agent, including a main agent, they’ve assassinated that was controlled by a restorationist player.sanity counters when you draw a sanity counter, reveal it. if it says sane, remove it from the game. if it says mad, keep it. if you have 3 mad sanity counters then you must reveal your secret identity. if you are a restorationist the game ends immediately. if you are a loyalist the game continues with your main agent counter remaining where it is. if there are no more sanity counters left and you are required to draw one, presume that you have gained enough mad counters to reveal yourself. if you are a loyalist and your secret identity has been revealed, you only draw sanity counters to determine whether an agent of yours dies while carrying out an assassination of a royal ‘person’. in all other cases you do not draw any counters. ending the game the game ends when one of these conditions is met: • the marker reaches the top space on the war track or the revolution track • a player reaches a number of vps as indicated on the vp track for the number of players. the game still ends even if his adjusted score ends up below this threshold. • a restorationist player’s main agent is killed, which may be the result of an assassination, destruction by a shoggoth, or drawing a third mad sanity counter. • a player plays the zombie card as their first action and all 8 zombie pieces are on the board. all of the players now reveal their identities, if they have not already done so, and adjust their vp scores. if all players are on the same side, the player with the most vps wins. if there are players on both sides, the side whose player has the lowest individual vp total is eliminated. on a tie, loyalists are eliminated. then the player with the highest score on the remaining side wins. if there is a tie between players on the same side, the player with the most control discs on the board wins. on a tie the tied players share the win. having your main agent die does not stop you from being able to win the game.start with the first player and go clockwise. on your turn perform 2 actions, then draw back up to 5 cards. place played cards faceup in your discard pile; if your draw deck is empty shuffle your discards to form a new deck. if you must lose a card from your hand, draw a replacement immediately. when a card is played, it can only be played one way (use one type of symbol on it, or its action). action: place influence cubes play 1 or more cards, each of which with least 1 cube symbol. take influence cubes from your available stock equal to the number of cube symbols on the cards. these cubes can either be placed on a faceup game or permanent effect card, or in a city box. all the influence cubes placed in a single action must be placed in the same place. you cannot deliberately overpay cards. the only time you can play fewer cubes than the number indicated is when you play a card with 2 cubes on it and you only have 1 available. action: claim 1 card you can only claim a card with your first action and if you haven’t performed a free action yet that turn. you can claim a card if no other player has more points of influence assigned to it than you do, and at least 1 of your points of influence must be an influence cube. on a tie, the tied player with the most agents in the city wins. each influence cube is worth 1 point of influence. each agent you have in the same city (including your main agent) is worth 1 point of influence. influence points from agents count towards claiming both game cards and city cards. when you claim a game card, place it on your discard pile. if the card is marked agent, move the matching agent counter from the card to the city box and place one of your control discs on the counter to show you control the agent. after taking the card, turn the next card in the stack faceup. if it is marked agent, place the matching agent counter on it. when the final card is taken from a game card box, move the war marker 2 spaces up the war track and draw 1 permanent effect card and place it faceup on display. when you claim a permanent effect card, place it faceup in front of you. you do not draw a new permanent effect card to replace the one just claimed. if you take any card marked with the sanity symbol, you must draw 1 sanity counter.when you claim a city card, take the card from the city card deck or ask the player controlling the city to give it to you. if that player had the city card in his hand he draws a replacement card from his draw deck. if he had to retrieve the card from his draw deck he shuffles his deck. place a control disc in the space indicated for the city and increase your vp score by the number of vps the city is worth (shown on the board). if the city was previously controlled by another player, they retrieve their control disc and reduce their vps by the same amount. all of your influence cubes used to claim a card are now placed in limbo. any other influence cubes involved are returned to the available stocks of their owning players. action: retrieve influence cubes play 1 or more cards, each of which with at least 1 cube symbol. retrieve influence cubes equal to the number of cube symbols on the cards and place them in your available stock. cubes may be retrieved from any combination of limbo, city boxes, game cards and permanent effect cards. you cannot obtain cubes from the influence cube pool in this manner. you cannot deliberately overpay cards. the number of cubes you retrieve must match the number of cubes on the cards (unless you played a single card with 2 cubes on it and you only have 1 cube to retrieve). action: buy influence cubes play 1 or more cards, each of which with at least 1 gold symbol. for every 2 gold symbols take 1 of your influence cubes from the pool and add it to your available stock. you cannot deliberately overpay cards. you must spend gold in multiples of 2. if you do not have any cubes in the pool you cannot perform this action. action: move agents move 1 or more agent counters under your control (including your main agent counter). the cost of moving 1 agent along 1 connection is shown in the silver circle on the connection. within an action, each agent may travel as many connections as you can afford, but must use the cheapest route. if a connection has a junction, an agent may use any path stemming from that junction (other than the path they just travelled) for the stated cost. then determine the total cost and play cards from your hand so the number of gold symbols matches the cost. you cannot overpay cards unless the cost is 1 and you have played a single card with 2 gold symbols on it. any number of agents can be in a city box. action: move markers play 1 or more cards, each of which must have at least 1 arrow symbol (choose 1 arrow if there is more than 1). if you choose a pink arrow, move the revolution track marker a number of spaces equal to the number inside the arrow and in the direction indicated. if you choose a green arrow, do the same on the war track. you can use multiple cards to move 1 or both markers. a marker can never move below 0 and you cannot play a card if you cannot move the marker at least 1 space. all restorationists earn vps from the revolution track, and all loyalists earn vps from the war track. players do not immediately claim these vps as to do so would reveal their identity; they only do so when they reveal their identity. action: discard cards select 1 or more cards from your hand and place them on your discard pile. if you discard more than 1 card you may place them in such a way that only 1 card is visible. you still do not draw cards until the end of your turn. action: reveal your secret identity reveal your identity but only if by doing so you cause the game to end, i.e. the number of victory points that are dependent on your secret identity, such as those gained from the revolution and war tracks, are enough to move your victory point marker to or past the necessary space on the victory point track to trigger the end of the game. action: reveal double-agent reveal 1 of your double-agent counters and take control of the agent named on it. you can only take control of an agent that is already controlled by another player. that player removes his control disc and hands the card that goes with the agent to you. place the card on your discard pile and place a control disc on the agent. you cannot reveal an assassinated agent as a double-agent. if a player reveals sherlock holmes as a double-agent, the controlling player may reveal his secret identity. if he is a restorationist he retains control of holmes. if a player reveals professor moriarty as a double-agent, the controlling player may reveal his secret identity. if he is a loyalist he retains control of the professor. action: card action play 1 card and perform the action described on it. if the card is marked free action this does not count towards your 2 action limit. it still counts as an action for the purposes of claiming a card. if the card is marked one use action then after performing the action remove the card from the game. if a card gives you the choice to assassinate royalty or an agent, you cannot do both within an action. action: passgame play"
4,253499,A WAR OF WHISPERS,2020,STARLING GAMES,2.5488,82,"setup each player chooses a matching player board, a set of agents, and a set of loyalty tokens. place the ‘1’ turn marker beside the start space on the board and the other turn markers near the turn tracker. the 5 empires are each represented by a color and animal: bear (blue), lion (yellow), horse (brown), elephant (green), and eagle (red). for each empire, place all banners (cubes) of that color beside the board in a pile near their associated councils to create the banner reserve piles. place a matching color banner on any region on the map that contains a small banner image. sort the empire cards into 5 empire decks and place each beside the corresponding empires. choose a first player and give them the first player marker. players place their initial loyalty bets: shuffle your 5 loyalty tokens and randomly place them facedown on the 5 loyalty slots on your player board. you may then peek at them, and may do so at any time during the game. gameplay 1. deploy agents phase each empire council consists of 4 council positions (sheriff, steward, marshal, and chancellor) on which you can place agents. starting with the first player and proceeding clockwise, remove 1 of your agents currently on the board (if any) and then take turns placing 1 agent on any open council position on the board until each player has placed 2 agents. 2 players: each player places 3 agents instead of 2. 2. empire turns phase this phase begins with the bear empire’s turn and proceeds clockwise around the board. during an empire’s turn, each council position in that empire’s council takes 1 available action determined by the player who controls it, starting with the sheriff and following the arrows up to the chancellor. you must take an action with an agent even if that action results in nothing happening. the player who controls a council position is determined as follows:• if a council position contains one of your agents, you control that council position. • if a council position contains no agents, the player who owns the next agent to its right within this council controls that council position. if there are no agents to its right, no player controls it and it will choose to do nothing as its action. council positions each council position has one or more available actions. add banner actions add 2 banners to any region(s) controlled by this empire. for each icon present across all regions controlled by this empire, add 1 banner to any region(s) controlled by this empire. for each icon present across all regions controlled by this empire, add 1 banner to any region(s) controlled by this empire. for each icon present across all regions controlled by this empire, add 2 banners to any region(s) controlled by this empire.attack action attack an enemy army region adjacent to a region controlled by the active empire. only 1 region may be attacked using this action. choose a region controlled by another empire. move any number of banners from an adjacent region controlled by the active empire into the chosen region. you cannot attack across oceans or seas. if any banners are being moved from a conquered region, you must leave at least 1 banner behind. you can never completely abandon a conquered enemy region using an attack. you may never use the attack action to simply shift banners among an empire’s controlled regions; it must be used to attack into an enemy- controlled region. combat occurs when banners from one empire move into a region controlled by another empire. losses are then taken: each side discards banners at a 1:1 ratio until one (or both) side is depleted. if either side has any banners remaining, they have won the battle. regions with forts destroy 1 attacking banner when an attacking army enters this region. draw empire card actions draw 1 card from this empire’s deck and add it to your hand. for every 2 icons present across all regions controlled by this empire, draw 1 card from this empire’s deck and add it to your hand. for every 3 icons present across all regions controlled by this empire, draw 1 card from this empire’s deck and add it to your hand. for every 2 icons present across all regions controlled by this empire, draw 1 card from this empire’s deck and add it to your hand. for every 3 icons present across all regions controlled by this empire, draw 1 card from this empire’s deck and add it to your hand. swap agent action swap this agent with any other agent within this council, then immediately take its action. this does not reset the turn. checking supply a region may only contain 4 banners at the end of an empire’s turn. if at the end of the turn there are more than 4 banners, return banners to the supply until there are only 4 left. if a region contains a farm, it has a higher limit of 6 banners. mark the turn place the current turn marker on the next available space on the turn tracker. the first player marker now passes the first player token to the next player clockwise. if the last turn marker is placed, the game ends without performing the swap and cleanup phases: proceed to final scoring. 3. swap phase starting with the first player and proceeding clockwise, you each have the opportunity to swap any 2 of your unrevealed loyalty tokens. to swap 2 loyalty tokens, switch the loyalty slot in which the 2 tokens are currently positioned in and flip them faceup so the empire symbols are now visible. these are now revealed and cannot be swapped in subsequent turns. 4. cleanup phase each player must discard any empire cards in excess of the maximum hand size of 5.regions a region is controlled by an empire if it has at least 1 banner there, or if it is one of their home regions and contains no enemy banners. to control a city, an empire must control the region the city is in. a home region is a region whose color matches the empire’s color. an empty region is any region that does not contain a banner. however, all regions (and any cities they contain) are always controlled by one of the empires. if there are no banners then the original owner (indicated by the colour of the region and its border) is the controlling empire. a friendly army/banner is one of the same empire that currently controls a region (not necessarily the active empire). if the region is empty of banners, a friendly banner is one that matches the original controller of the region at setup (indicated by the colour of the region and its border). empire cards the empire cards you acquire can be played from your hand to affect the game in a variety of different ways. each empire’s cards have their own symbol at the top of the card. you may add as many cards to your hand as you like, but during the cleanup phase, you must discard down to no more than 5 cards in your hand. to play a card, choose one, then choose one of the abilities listed on it. then, pay its cost by discarding a number of cards of the empire equal to the cost listed beside the chosen ability. the card being played counts as one of the cards being discarded to pay the cost. therefore, the first ability on each card can be played without discarding any additional cards. you can play a card immediately before, during, or immediately after using one of your own agents, and the agent doesn’t have to match the empire of the card(s) being played. you can play multiple cards in a single turn. any time a card is played or discarded, shuffle it back into the empire deck it belongs to. advanced rule: assigning agents to regions when assigning agents during the deploy agents phase, instead of assigning an agent to a council position, you may choose to assign it to any region on the map, even if occupied. a player’s agent in a region counts as a city for that player in final scoring. players can have a maximum of 2 agents deployed to the map. regions can contain more than 1 agent, but not from the same player. agents played to a region can be retrieved at the start of the deploy agents phase, just like any other agent. agents cannot be added or removed from the map in any other way. final scoring the game ends after the reveal loyalty phase of the 4th round. all loyalty tokens are scored and the player who scores the most points is the winner. you have 5 loyalty tokens, one for each empire, and 5 loyalty slots on your player board: devout (x4), dutiful (x3), affiliated (x2), unallied (x0), and opposed (x-1). score loyalty tokens by multiplying the number of cities the corresponding empire controls at the end of the game by how loyal you were to that empire. if 2 players are tied for equal points then the player that swapped loyalty the least during the game wins. if both players are still tied, the player with the most empire cards in hand wins. loyalty tokens score you points based on the loyalty level they are bet on and the number of cities the corresponding empire controls."
5,239472,ABOMINATION: HEIR OF FRANKENSTEIN,2019,PLAID HAT GAMES,3.2636,110,"setup place the paris board in the center of the table area with the event board above it. place the leopold the vast public square cadaver card to the side. shuffle all the other cadaver cards by type to create 4 cadaver decks (cemetery, morgue, hospital and public square). place the morgue deck faceup on the morgue, the cemetery deck facedown on the cemetery, and all the other decks facedown off the board. draw a number of cards from the hospital deck equal to the number of players and place a faceup stack of them at the hospital. shuffle the scoundrel deck and place it facedown off the board near the docks, then deal 3 scoundrel cards faceup to the slots above the docks. shuffle the research deck and place it facedown off the board near the academy, then deal 2 research cards faceup to the slots above the academy. shuffle the humanity deck and place it off the board near saint-roch, then deal 2 humanity cards faceup to the slots above saint-roch. shuffle together 6 random event cards and 4 random encounter cards to form the event deck. add 2 additional random event cards to the top of the deck, then cover it with the event cover card and place it on the event board. place the event markers nearby. place the captain meeple on the first space of the story track. place, if necessary, the appropriate bribe & bump track on the paris board, according to your player count. randomly select 4 of the 6 bonus objective markers and place them faceup on the paris board. return the rest to the box. sort and place within reach of all players: the leyden jars, ice blocks, francs (fr), materials (sorted into their 5 colors), shock dice, damage markers, alive markers, monster part tokens (sorted into heads, torsos, arms and legs), and police markers. each player takes 1 random character card, 1 player reference card, 1 laboratory board, 1 anatomy card, fr equal to the number of players; plus 4 scientist meeples, 3 assistant meeples, and a player score marker all matching the laboratory board color. set the attribute dials on your laboratory to 0 for humanity , and to 1 for reputation and expertise . place 1 scientist and 2 assistants on the slots on your character card. set your score marker on the 0 space of the score track on the paris board. choose a first player to take the first player creature meeple. when cards are played or discarded, they go to the bottom of their deck. if you run out of materials or fr, use substitutes. round order 1. event phase the first player draws the top card of the event deck and finds the side that corresponds with the current round. if the card is an event card, read it aloud and put it into play. place event markers at affected locations as a reminder. if the card is an encounter card with a trigger of ‘now’, read it aloud to the indicated target player. if the card is an encounter with a location trigger, hold onto the card, keeping its location trigger secret. when any player other than the card holder places a meeple at that location, announce there is an encounter and read the appropriate entry before they pay any costs or resolve any effects. location encounters are held for the duration of the game, and discarded only after being triggered. if the card holder forgets to announce the encounter card during the trigger, the card must be discarded without being resolved. when the first player chooses an encounter target, they can choose any player, including themselves. if more than 1 player meets the target condition, the first player chooses the target from amongst them. when the target is the first player, choose any other player to read the card. when an event or encounter card directs you to go to an entry, refer to the numbered entries in the rulebook. there are 2 additional event effects: execution: draw 1 or 2 cards from the public square deck and place them faceup on the slots at the public square (2 players: 1 card, 3-4 players: 2 cards). lightning storm: all players charge their leyden jars (flip to charged side). if you purchase a leyden jar this round, immediately charge it. 2. city phase starting with the first player and going clockwise, players take turns placing meeples until all players have placed all of their meeples or are forced to pass. on your turn you must remove 1 meeple from your character card and place it on a location space on the paris board or on your laboratory board, then resolve that space’s effect. if you have no meeples left on your character card on your turn, or if there are no valid spaces to play, you must pass. only a scientist meeple can be placed on this space. pay this many fr (return them to the supply) to place a meeple on this space. if another meeple is on a space, you must bump that meeple before placing your own meeple there. move the bumped meeple to the first available space of the bump track and give fr equal to the cost of that space to the owner of the bumped meeple. if the bump track is already full, the meeple cannot be bumped and you cannot place your meeple on the occupied space. you can bump your own meeples for 0 fr, but only if there is space on the bump track. 3. lab phase during the lab phase each player simultaneously resolves the following actions, in order: 1. build a monster part (as many times as you like or are able) choose a part to build by consulting your anatomy card (you can create at most 1 head, 1 torso, 2 arms and 2 legs). to build a muscle monster part consult the start a monster part side. if you already have muscle parts built and wish to add skin to one of them, consult the complete a monster part side. then do the following in order: 1. check your expertise level meets or exceeds that part’s expertise requirement. 2. discard the materials indicated by the part’s material requirement. note the decomposition stage of the most decayed material you are discarding. animal (orange) material can be substituted for almost any other kind of material, but reduces your vps. stage iii or iv animal material cannot be substituted for blood. 3. add a corresponding part token to your operating table (or, if adding skin to a previously built muscle part, flip it over to the skin-side on your operating table, retaining any damage on it). 4. gain 1 expertise .5. gain the number of victory points (vps) corresponding to the stage of decomposition of the used material that is most decayed, less 1 or 2 points (max) if any animal material was used (as indicated on the anatomy card). if you build a monster part and that part is later downgraded (flipped or discarded), you do not lose the expertise and vps you gained; and you can gain them again for rebuilding that part. 2. throw the switch (up to 1 time) if you have at least 1 completed monster part (skin-side up) on your operating table, you may throw the switch once: 1. flip 1-3 of your charged leyden jars to their uncharged side. 2. roll 2 gray shock dice for each leyden jar you just flipped. if you have research cards to play for their dice mitigation effect, you may use them now. 3. resolve all results by placing that many markers, 1 at a time, onto 1 or more parts on your operating table. if 2 markers are ever on a monster part, immediately discard those markers and downgrade the monster part 1 step: if it is a muscle part, discard it; if it is a non-alive skin/complete part, flip it to its muscle side; if it is an alive part, discard its marker. when placing damage, you cannot place a second damage on a part unless all parts already have 1 damage. 4. receive 1 (max) when you roll 1 or more . 5. if able, place an marker on a skin-side up monster part on your operating table for each result (it is now alive). a monster part cannot have more than 1 marker on it. 3. preserve materials (as many times as you like or are able) move any number of organs (purple) and muscle (brown) materials from spaces on your decomposition track to your preservation space. you cannot have more than 9 materials on your preservation space at a time. 4. reset phase do the following in order: 1. decompose: each player without an ice block in their lab discards all materials on stage iv of their decomposition track and all blood material on stage ii, then moves each remaining material in stage i through iii one space to the right on their track. players with an ice block do not decompose materials but each solid ice block is flipped to the half-melted side and each half-melted ice block is returned to the supply. 2. refresh the board: discard and then replenish all cards at the hospital, docks, academy, and saint-roch. the hospital is always replenished with a number of faceup cards in a stack equal to the number of players. discard all cards at the public square; do not replenish them. discard any event card in play, plus any corresponding event markers. 3. refresh meeples: return placed meeples to your character card. 4. advance the captain: advance the captain meeple 1 space along the story track. if he reaches the last space (skull), the game ends immediately. gaining materials materials gained (except bone) are in one of 4 stages of decomposition (stage i the freshest and iv the most decayed). you cannot have more than 15 materials on each space of your decomposition track at a time. if a space has more than 15 materials, immediately discard the excess. whenever you gain materials, take the number and type of materials from their supplies and place them on the appropriate space on your decomposition track or bone space.bone (white) materials never decompose and are always added to the bone space, not the decomposition track. you cannot have more than 12 materials on your bones space. they can later be sold at the market if not used. humanity & research cards you may have up to 3 of each type of card; if you want to draw a 4th humanity or research card (this is always optional), you must first discard 1. playing a card is always optional. they offer a one- time effect, and many grant an attribute or fr benefit listed as icons, after which the card is discarded to the bottom of its deck. alternatively, research cards can be played after rolling shock dice to gain the dice mitigation effect listed after the die icon. additional cards can be played for additional re-rolls. attributes when increasing an attribute, turn that attribute dial that many spaces clockwise; when decreasing, turn it counterclockwise. signifies an increase in humanity and signifies a loss. some effects cause you to lose an attribute as a cost. if you cannot lose an attribute, you may still gain the benefit. if you reach -10 humanity (), you can no longer gain or lose humanity when taking actions that normally cause you to do so. when moving a dial causes it to move onto or past one or more spaces with any of the following icons, resolve the icon effects. if you move past a space who’s effect you previously resolved, but this time heading in the opposite direction, undo the effect. end of the game the game ends when the captain meeple reaches the last space of the story track or when one or more players has brought their monster to life (all 6 body parts alive) at the end of a lab phase. at the end of the game each player gains additional vps: • alive points for each monster part with an marker. • 10 points for each bonus objective you have achieved. • points equal to the highest vp value reached on your reputation and expertise dials. • points (gain or loss) equal to the highest or lowest vp value reached on your humanity dial. • if the game ends with the captain reaching the last space on the story track, the player with the highest positive humanity gains 5 additional vps. if 2 or more players are tied, each of them gains 5 vps. the player with the most vps wins. on a tie, tie breakers are: 1. the player with the most alive monster parts. 2. the player with the most fr. 3. turn order position relative to the first player: 1 (first player), 2 (left of first player), etc. optionally, if the game ended by a player bringing their monster to life, read the it’s alive section in the rulebook. if the game ended by the captain meeple reaching the last space of the story track, read the captain walton triumphs section. bonus objectives bonus objectives are additional vps you can earn by meeting the conditions on the bonus objective markers in play. once you meet the condition, take the marker and place it in your play area. you will gain these points at the end of the game. once claimed, no other player may obtain that objective. if 2 or more players meet the condition for the same bonus objective during the lab phase (in which actions are simultaneous), the tie breaker is decided by each player’s turn order relative to the first player."
